nid,id,name,organism,ncbi_taxonomy.name,description,resource_markdown
2204,ENSG00000157766,ACAN,2,Homo sapiens,aggrecan [Source:HGNC Symbol;Acc:HGNC:319],
1373,ENSG00000128311,TST,2,Homo sapiens,thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388],
764,ENSG00000105401,CDC37,2,Homo sapiens,"cell division cycle 37, HSP90 cochaperone [Source:HGNC Symbol;Acc:HGNC:1735]",
3762,ENSG00000277953,ENSG00000277953,2,Homo sapiens,pre-mRNA processing factor 31 [Source:NCBI gene (formerly Entrezgene);Acc:26121],
4116,ENSG00000010322,NISCH,2,Homo sapiens,nischarin [Source:HGNC Symbol;Acc:HGNC:18006],
1268,ENSG00000124006,OBSL1,2,Homo sapiens,obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092],
10073,ENSG00000130598,TNNI2,2,Homo sapiens,"troponin I2, fast skeletal type [Source:HGNC Symbol;Acc:HGNC:11946]",
15805,ENSG00000167646,DNAAF3,2,Homo sapiens,dynein axonemal assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:30492],
161,ENSG00000043355,ZIC2,2,Homo sapiens,Zic family member 2 [Source:HGNC Symbol;Acc:HGNC:12873],
8057,ENSG00000113810,SMC4,2,Homo sapiens,structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013],
10454,ENSG00000132972,RNF17,2,Homo sapiens,ring finger protein 17 [Source:HGNC Symbol;Acc:HGNC:10060],
7499,ENSG00000109534,GAR1,2,Homo sapiens,GAR1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14264],
13048,ENSG00000150637,CD226,2,Homo sapiens,CD226 molecule [Source:HGNC Symbol;Acc:HGNC:16961],
20860,ENSG00000203812,H2AC18,2,Homo sapiens,H2A clustered histone 18 [Source:HGNC Symbol;Acc:HGNC:4736],
12251,ENSG00000143994,ABHD1,2,Homo sapiens,abhydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17553],
1595,ENSG00000135341,MAP3K7,2,Homo sapiens,mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859],
23468,ENSG00000284873,OOSP1,2,Homo sapiens,oocyte secreted protein 1 [Source:HGNC Symbol;Acc:HGNC:49233],
10399,ENSG00000132677,RHBG,2,Homo sapiens,Rh family B glycoprotein [Source:HGNC Symbol;Acc:HGNC:14572],
4289,ENSG00000023839,ABCC2,2,Homo sapiens,ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53],
8873,ENSG00000120500,ARR3,2,Homo sapiens,arrestin 3 [Source:HGNC Symbol;Acc:HGNC:710],
11158,ENSG00000137080,IFNA21,2,Homo sapiens,interferon alpha 21 [Source:HGNC Symbol;Acc:HGNC:5424],
815,ENSG00000106688,SLC1A1,2,Homo sapiens,solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939],
8660,ENSG00000118705,RPN2,2,Homo sapiens,ribophorin II [Source:HGNC Symbol;Acc:HGNC:10382],
12629,ENSG00000146839,ZAN,2,Homo sapiens,zonadhesin [Source:HGNC Symbol;Acc:HGNC:12857],
6127,ENSG00000100373,UPK3A,2,Homo sapiens,uroplakin 3A [Source:HGNC Symbol;Acc:HGNC:12580],
14913,ENSG00000164080,RAD54L2,2,Homo sapiens,RAD54 like 2 [Source:HGNC Symbol;Acc:HGNC:29123],
12961,ENSG00000149547,EI24,2,Homo sapiens,EI24 autophagy associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:13276],
8724,ENSG00000119471,HSDL2,2,Homo sapiens,hydroxysteroid dehydrogenase like 2 [Source:HGNC Symbol;Acc:HGNC:18572],
3071,ENSG00000185808,PIGP,2,Homo sapiens,phosphatidylinositol glycan anchor biosynthesis class P [Source:HGNC Symbol;Acc:HGNC:3046],
22029,ENSG00000226372,DCAF8L1,2,Homo sapiens,DDB1 and CUL4 associated factor 8 like 1 [Source:HGNC Symbol;Acc:HGNC:31810],
8457,ENSG00000116857,TMEM9,2,Homo sapiens,transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823],
4452,ENSG00000043514,TRIT1,2,Homo sapiens,tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286],
2721,ENSG00000171766,GATM,2,Homo sapiens,glycine amidinotransferase [Source:HGNC Symbol;Acc:HGNC:4175],
19073,ENSG00000185100,ADSS1,2,Homo sapiens,adenylosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:20093],
13035,ENSG00000150477,KIAA1328,2,Homo sapiens,KIAA1328 [Source:HGNC Symbol;Acc:HGNC:29248],
9720,ENSG00000127561,SYNGR3,2,Homo sapiens,synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501],
3834,ENSG00000285243,SLC39A4,2,Homo sapiens,solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129],
15271,ENSG00000165462,PHOX2A,2,Homo sapiens,paired like homeobox 2A [Source:HGNC Symbol;Acc:HGNC:691],
6861,ENSG00000105053,VRK3,2,Homo sapiens,VRK serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:18996],
19965,ENSG00000189403,HMGB1,2,Homo sapiens,high mobility group box 1 [Source:HGNC Symbol;Acc:HGNC:4983],
17697,ENSG00000177025,C19orf18,2,Homo sapiens,chromosome 19 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:28642],
19297,ENSG00000186105,LRRC70,2,Homo sapiens,leucine rich repeat containing 70 [Source:HGNC Symbol;Acc:HGNC:35155],
20791,ENSG00000198914,POU3F3,2,Homo sapiens,POU class 3 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9216],
2543,ENSG00000167371,PRRT2,2,Homo sapiens,proline rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30500],
1287,ENSG00000124608,AARS2,2,Homo sapiens,"alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]",
6775,ENSG00000104626,ERI1,2,Homo sapiens,exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:23994],
3840,ENSG00000285493,NRL,2,Homo sapiens,neural retina leucine zipper [Source:HGNC Symbol;Acc:HGNC:8002],
21274,ENSG00000206072,SERPINB11,2,Homo sapiens,serpin family B member 11 [Source:HGNC Symbol;Acc:HGNC:14221],
10431,ENSG00000132842,AP3B1,2,Homo sapiens,adaptor related protein complex 3 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:566],
366,ENSG00000077279,DCX,2,Homo sapiens,doublecortin [Source:HGNC Symbol;Acc:HGNC:2714],
307,ENSG00000070950,RAD18,2,Homo sapiens,RAD18 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18278],
3199,ENSG00000196569,LAMA2,2,Homo sapiens,laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482],
6445,ENSG00000102001,CACNA1F,2,Homo sapiens,calcium voltage-gated channel subunit alpha1 F [Source:HGNC Symbol;Acc:HGNC:1393],
4078,ENSG00000008513,ST3GAL1,2,Homo sapiens,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]",
14205,ENSG00000160588,MPZL3,2,Homo sapiens,myelin protein zero like 3 [Source:HGNC Symbol;Acc:HGNC:27279],
23241,ENSG00000275663,H4C7,2,Homo sapiens,H4 clustered histone 7 [Source:HGNC Symbol;Acc:HGNC:4792],
20029,ENSG00000196248,OR10S1,2,Homo sapiens,olfactory receptor family 10 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:14807],
5436,ENSG00000083290,ULK2,2,Homo sapiens,unc-51 like autophagy activating kinase 2 [Source:HGNC Symbol;Acc:HGNC:13480],
21205,ENSG00000205544,TMEM256,2,Homo sapiens,transmembrane protein 256 [Source:HGNC Symbol;Acc:HGNC:28618],
13577,ENSG00000155313,USP25,2,Homo sapiens,ubiquitin specific peptidase 25 [Source:HGNC Symbol;Acc:HGNC:12624],
15851,ENSG00000167780,SOAT2,2,Homo sapiens,sterol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:11178],
15945,ENSG00000168175,MAPK1IP1L,2,Homo sapiens,mitogen-activated protein kinase 1 interacting protein 1 like [Source:HGNC Symbol;Acc:HGNC:19840],
19626,ENSG00000187778,MCRS1,2,Homo sapiens,microspherule protein 1 [Source:HGNC Symbol;Acc:HGNC:6960],
9362,ENSG00000124664,SPDEF,2,Homo sapiens,SAM pointed domain containing ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:17257],
6458,ENSG00000102054,RBBP7,2,Homo sapiens,"RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]",
17890,ENSG00000178199,ZC3H12D,2,Homo sapiens,zinc finger CCCH-type containing 12D [Source:HGNC Symbol;Acc:HGNC:21175],
19324,ENSG00000186204,CYP4F12,2,Homo sapiens,cytochrome P450 family 4 subfamily F member 12 [Source:HGNC Symbol;Acc:HGNC:18857],
7064,ENSG00000105983,LMBR1,2,Homo sapiens,limb development membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13243],
9491,ENSG00000125743,SNRPD2,2,Homo sapiens,small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159],
7946,ENSG00000112893,MAN2A1,2,Homo sapiens,mannosidase alpha class 2A member 1 [Source:HGNC Symbol;Acc:HGNC:6824],
19608,ENSG00000187715,KBTBD12,2,Homo sapiens,kelch repeat and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:25731],
17968,ENSG00000178772,CPN2,2,Homo sapiens,carboxypeptidase N subunit 2 [Source:HGNC Symbol;Acc:HGNC:2313],
19597,ENSG00000187672,ERC2,2,Homo sapiens,ELKS/RAB6-interacting/CAST family member 2 [Source:HGNC Symbol;Acc:HGNC:31922],
12622,ENSG00000146802,TMEM168,2,Homo sapiens,transmembrane protein 168 [Source:HGNC Symbol;Acc:HGNC:25826],
22376,ENSG00000240671,IGKV1-8,2,Homo sapiens,immunoglobulin kappa variable 1-8 [Source:HGNC Symbol;Acc:HGNC:5743],
14655,ENSG00000163319,MRPS18C,2,Homo sapiens,mitochondrial ribosomal protein S18C [Source:HGNC Symbol;Acc:HGNC:16633],
20961,ENSG00000204305,AGER,2,Homo sapiens,advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320],
2773,ENSG00000173531,MST1,2,Homo sapiens,macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380],
2544,ENSG00000167377,ZNF23,2,Homo sapiens,zinc finger protein 23 [Source:HGNC Symbol;Acc:HGNC:13023],
8647,ENSG00000118526,TCF21,2,Homo sapiens,transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11632],
22120,ENSG00000230062,ANKRD66,2,Homo sapiens,ankyrin repeat domain 66 [Source:HGNC Symbol;Acc:HGNC:44669],
20967,ENSG00000204323,SMIM5,2,Homo sapiens,small integral membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:40030],
12525,ENSG00000145982,FARS2,2,Homo sapiens,"phenylalanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21062]",
20109,ENSG00000196503,ARL9,2,Homo sapiens,ADP ribosylation factor like GTPase 9 [Source:HGNC Symbol;Acc:HGNC:23592],
13273,ENSG00000152492,CCDC50,2,Homo sapiens,coiled-coil domain containing 50 [Source:HGNC Symbol;Acc:HGNC:18111],
4754,ENSG00000064932,SBNO2,2,Homo sapiens,strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158],
13,ENSG00000004487,KDM1A,2,Homo sapiens,lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079],
20244,ENSG00000197020,ZNF100,2,Homo sapiens,zinc finger protein 100 [Source:HGNC Symbol;Acc:HGNC:12880],
13272,ENSG00000152484,USP12,2,Homo sapiens,ubiquitin specific peptidase 12 [Source:HGNC Symbol;Acc:HGNC:20485],
22840,ENSG00000257949,TEN1,2,Homo sapiens,TEN1 subunit of CST complex [Source:HGNC Symbol;Acc:HGNC:37242],
8548,ENSG00000117543,DPH5,2,Homo sapiens,diphthamide biosynthesis 5 [Source:HGNC Symbol;Acc:HGNC:24270],
9185,ENSG00000123388,HOXC11,2,Homo sapiens,homeobox C11 [Source:HGNC Symbol;Acc:HGNC:5123],
23087,ENSG00000270601,PRAMEF5,2,Homo sapiens,PRAME family member 5 [Source:HGNC Symbol;Acc:HGNC:27995],
17407,ENSG00000175221,MED16,2,Homo sapiens,mediator complex subunit 16 [Source:HGNC Symbol;Acc:HGNC:17556],
11194,ENSG00000137266,SLC22A23,2,Homo sapiens,solute carrier family 22 member 23 [Source:HGNC Symbol;Acc:HGNC:21106],
1942,ENSG00000145348,TBCK,2,Homo sapiens,TBC1 domain containing kinase [Source:HGNC Symbol;Acc:HGNC:28261],
22060,ENSG00000227471,AKR1B15,2,Homo sapiens,aldo-keto reductase family 1 member B15 [Source:HGNC Symbol;Acc:HGNC:37281],
15072,ENSG00000164615,CAMLG,2,Homo sapiens,calcium modulating ligand [Source:HGNC Symbol;Acc:HGNC:1471],
14747,ENSG00000163605,PPP4R2,2,Homo sapiens,protein phosphatase 4 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:18296],
7418,ENSG00000108826,MRPL27,2,Homo sapiens,mitochondrial ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:14483],
13697,ENSG00000156414,TDRD9,2,Homo sapiens,tudor domain containing 9 [Source:HGNC Symbol;Acc:HGNC:20122],
3442,ENSG00000217930,PAM16,2,Homo sapiens,presequence translocase associated motor 16 [Source:HGNC Symbol;Acc:HGNC:29679],
22576,ENSG00000248405,PRR5-ARHGAP8,2,Homo sapiens,PRR5-ARHGAP8 readthrough [Source:HGNC Symbol;Acc:HGNC:34512],
2952,ENSG00000181163,NPM1,2,Homo sapiens,nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910],
3755,ENSG00000277586,NEFL,2,Homo sapiens,neurofilament light chain [Source:HGNC Symbol;Acc:HGNC:7739],
16727,ENSG00000171657,GPR82,2,Homo sapiens,G protein-coupled receptor 82 [Source:HGNC Symbol;Acc:HGNC:4533],
1006,ENSG00000112992,NNT,2,Homo sapiens,nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863],
13184,ENSG00000151778,SERP2,2,Homo sapiens,stress associated endoplasmic reticulum protein family member 2 [Source:HGNC Symbol;Acc:HGNC:20607],
19381,ENSG00000186474,KLK12,2,Homo sapiens,kallikrein related peptidase 12 [Source:HGNC Symbol;Acc:HGNC:6360],
19331,ENSG00000186231,KLHL32,2,Homo sapiens,kelch like family member 32 [Source:HGNC Symbol;Acc:HGNC:21221],
18379,ENSG00000181616,OR52H1,2,Homo sapiens,olfactory receptor family 52 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:15218],
453,ENSG00000088538,DOCK3,2,Homo sapiens,dedicator of cytokinesis 3 [Source:HGNC Symbol;Acc:HGNC:2989],
10385,ENSG00000132613,MTSS2,2,Homo sapiens,MTSS I-BAR domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25094],
19592,ENSG00000187634,SAMD11,2,Homo sapiens,sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706],
18751,ENSG00000183574,RNF5,2,Homo sapiens,ring finger protein 5 [Source:HGNC Symbol;Acc:HGNC:10068],
11157,ENSG00000137078,SIT1,2,Homo sapiens,signaling threshold regulating transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:17710],
13831,ENSG00000157578,LCA5L,2,Homo sapiens,lebercilin LCA5 like [Source:HGNC Symbol;Acc:HGNC:1255],
528,ENSG00000099365,STX1B,2,Homo sapiens,syntaxin 1B [Source:HGNC Symbol;Acc:HGNC:18539],
17952,ENSG00000178665,ZNF713,2,Homo sapiens,zinc finger protein 713 [Source:HGNC Symbol;Acc:HGNC:22043],
7154,ENSG00000106541,AGR2,2,Homo sapiens,"anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]",
12464,ENSG00000145623,OSMR,2,Homo sapiens,oncostatin M receptor [Source:HGNC Symbol;Acc:HGNC:8507],
12045,ENSG00000142920,AZIN2,2,Homo sapiens,antizyme inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:29957],
17387,ENSG00000175137,SH3BP5L,2,Homo sapiens,SH3 binding domain protein 5 like [Source:HGNC Symbol;Acc:HGNC:29360],
22389,ENSG00000241058,NSUN6,2,Homo sapiens,NOP2/Sun RNA methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:23529],
19870,ENSG00000188931,CFAP126,2,Homo sapiens,cilia and flagella associated protein 126 [Source:HGNC Symbol;Acc:HGNC:32325],
1613,ENSG00000135679,MDM2,2,Homo sapiens,MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973],
667,ENSG00000102178,UBL4A,2,Homo sapiens,ubiquitin like 4A [Source:HGNC Symbol;Acc:HGNC:12505],
22759,ENSG00000255378,PRR23D2,2,Homo sapiens,proline rich 23 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:49396],
14741,ENSG00000163586,FABP1,2,Homo sapiens,fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555],
12165,ENSG00000143512,HHIPL2,2,Homo sapiens,HHIP like 2 [Source:HGNC Symbol;Acc:HGNC:25842],
16267,ENSG00000169612,RAMAC,2,Homo sapiens,RNA guanine-7 methyltransferase activating subunit [Source:HGNC Symbol;Acc:HGNC:31022],
8401,ENSG00000116521,SCAMP3,2,Homo sapiens,secretory carrier membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:10565],
22761,ENSG00000255398,HCAR3,2,Homo sapiens,hydroxycarboxylic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:16824],
22064,ENSG00000227715,HLA-A,2,Homo sapiens,"major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]",
16858,ENSG00000172238,ATOH1,2,Homo sapiens,atonal bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:797],
4645,ENSG00000058729,RIOK2,2,Homo sapiens,RIO kinase 2 [Source:HGNC Symbol;Acc:HGNC:18999],
13030,ENSG00000150455,TIRAP,2,Homo sapiens,TIR domain containing adaptor protein [Source:HGNC Symbol;Acc:HGNC:17192],
2073,ENSG00000151474,FRMD4A,2,Homo sapiens,FERM domain containing 4A [Source:HGNC Symbol;Acc:HGNC:25491],
13344,ENSG00000153093,ACOXL,2,Homo sapiens,acyl-CoA oxidase like [Source:HGNC Symbol;Acc:HGNC:25621],
16847,ENSG00000172183,ISG20,2,Homo sapiens,interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130],
17555,ENSG00000176165,FOXG1,2,Homo sapiens,forkhead box G1 [Source:HGNC Symbol;Acc:HGNC:3811],
17564,ENSG00000176208,ATAD5,2,Homo sapiens,ATPase family AAA domain containing 5 [Source:HGNC Symbol;Acc:HGNC:25752],
14659,ENSG00000163331,DAPL1,2,Homo sapiens,death associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:21490],
20513,ENSG00000198055,GRK6,2,Homo sapiens,G protein-coupled receptor kinase 6 [Source:HGNC Symbol;Acc:HGNC:4545],
20805,ENSG00000198937,CCDC167,2,Homo sapiens,coiled-coil domain containing 167 [Source:HGNC Symbol;Acc:HGNC:21239],
4893,ENSG00000068400,GRIPAP1,2,Homo sapiens,GRIP1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18706],
4967,ENSG00000070526,ST6GALNAC1,2,Homo sapiens,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23614]",
18452,ENSG00000182087,TMEM259,2,Homo sapiens,transmembrane protein 259 [Source:HGNC Symbol;Acc:HGNC:17039],
17473,ENSG00000175592,FOSL1,2,Homo sapiens,"FOS like 1, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:13718]",
21539,ENSG00000211947,IGHV3-21,2,Homo sapiens,immunoglobulin heavy variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5586],
3671,ENSG00000265107,GJA5,2,Homo sapiens,gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279],
8009,ENSG00000113441,LNPEP,2,Homo sapiens,leucyl and cystinyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:6656],
20252,ENSG00000197050,ZNF420,2,Homo sapiens,zinc finger protein 420 [Source:HGNC Symbol;Acc:HGNC:20649],
17146,ENSG00000173641,HSPB7,2,Homo sapiens,heat shock protein family B (small) member 7 [Source:HGNC Symbol;Acc:HGNC:5249],
14872,ENSG00000163960,UBXN7,2,Homo sapiens,UBX domain protein 7 [Source:HGNC Symbol;Acc:HGNC:29119],
22951,ENSG00000262406,MMP12,2,Homo sapiens,matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158],
13094,ENSG00000151116,UEVLD,2,Homo sapiens,UEV and lactate/malate dehyrogenase domains [Source:HGNC Symbol;Acc:HGNC:30866],
6631,ENSG00000103269,RHBDL1,2,Homo sapiens,rhomboid like 1 [Source:HGNC Symbol;Acc:HGNC:10007],
7691,ENSG00000111254,AKAP3,2,Homo sapiens,A-kinase anchoring protein 3 [Source:HGNC Symbol;Acc:HGNC:373],
44,ENSG00000007312,CD79B,2,Homo sapiens,CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699],
19170,ENSG00000185561,TLCD2,2,Homo sapiens,TLC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33522],
11152,ENSG00000137073,UBAP2,2,Homo sapiens,ubiquitin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:14185],
20716,ENSG00000198785,GRIN3A,2,Homo sapiens,glutamate ionotropic receptor NMDA type subunit 3A [Source:HGNC Symbol;Acc:HGNC:16767],
15508,ENSG00000166396,SERPINB7,2,Homo sapiens,serpin family B member 7 [Source:HGNC Symbol;Acc:HGNC:13902],
12505,ENSG00000145863,GABRA6,2,Homo sapiens,gamma-aminobutyric acid type A receptor subunit alpha6 [Source:HGNC Symbol;Acc:HGNC:4080],
944,ENSG00000111199,TRPV4,2,Homo sapiens,transient receptor potential cation channel subfamily V member 4 [Source:HGNC Symbol;Acc:HGNC:18083],
3035,ENSG00000184502,GAST,2,Homo sapiens,gastrin [Source:HGNC Symbol;Acc:HGNC:4164],
8416,ENSG00000116668,SWT1,2,Homo sapiens,SWT1 RNA endoribonuclease homolog [Source:HGNC Symbol;Acc:HGNC:16785],
18487,ENSG00000182223,ZAR1,2,Homo sapiens,zygote arrest 1 [Source:HGNC Symbol;Acc:HGNC:20436],
16208,ENSG00000169314,C22orf15,2,Homo sapiens,chromosome 22 open reading frame 15 [Source:HGNC Symbol;Acc:HGNC:15558],
16708,ENSG00000171564,FGB,2,Homo sapiens,fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662],
14626,ENSG00000163202,LCE3D,2,Homo sapiens,late cornified envelope 3D [Source:HGNC Symbol;Acc:HGNC:16615],
7184,ENSG00000106714,CNTNAP3,2,Homo sapiens,contactin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:13834],
3882,ENSG00000002726,AOC1,2,Homo sapiens,amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80],
15436,ENSG00000166145,SPINT1,2,Homo sapiens,"serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]",
20020,ENSG00000196227,FAM217B,2,Homo sapiens,family with sequence similarity 217 member B [Source:HGNC Symbol;Acc:HGNC:16170],
